﻿﻿﻿﻿﻿﻿﻿inDate,inTime,61C164300023061C1643000230建泰二期,61C1643000218U 61C1643000218建泰二期,61C1643000224U 61C1643000224建泰二期,61C1643000225U 61C1643000225建泰二期,61C1643000226U 61C1643000226建泰二期,61C1643000227U 61C1643000227建泰二期,61C1643000229U 61C1643000229建泰二期
2018-04-19,00:00:00,0,0,0,0,0,0,0
2018-04-19,00:20:00,0,0,0,0,0,0,0
2018-04-19,00:40:00,0,0,0,0,0,0,0
2018-04-19,01:00:00,0,0,0,0,0,0,0
2018-04-19,01:20:00,0,0,0,0,0,0,0
2018-04-19,01:40:00,0,0,0,0,0,0,0
2018-04-19,02:00:00,0,0,0,0,0,0,0
2018-04-19,02:20:00,0,0,0,0,0,0,0
2018-04-19,02:40:00,0,0,0,0,0,0,0
2018-04-19,03:00:00,0,0,0,0,0,0,0
2018-04-19,03:20:00,0,0,0,0,0,0,0
2018-04-19,03:40:00,0,0,0,0,0,0,0
2018-04-19,04:00:00,0,0,0,0,0,0,0
2018-04-19,04:20:00,0,0,0,0,0,0,0
2018-04-19,04:40:00,0,0,0,0,0,0,0
2018-04-19,05:00:00,0,0,0,0,0,0,0
2018-04-19,05:20:00,0,0,0,0,0,0,0
2018-04-19,05:40:00,0.14715,0.14405,0.14445,0.14515,0.1457,0.1453,0.14695
2018-04-19,06:00:00,0.51595,0.50435,0.50315,0.51135,0.51325,0.509,0.51565
2018-04-19,06:20:00,0.6801,0.65615,0.66105,0.67325,0.6767,0.66865,0.67745
2018-04-19,06:40:00,1.33285,1.26515,1.2799,1.31295,1.32165,1.29825,1.307
2018-04-19,07:00:00,2.3105,2.16755,2.2312,2.29205,2.30385,2.256,2.25715
2018-04-19,07:20:00,3.1731,3.02895,3.0746,3.14645,3.15345,3.10265,3.1283
2018-04-19,07:40:00,3.87925,3.7088,3.75015,3.8312,3.8381,3.7905,3.82515
2018-04-19,08:00:00,4.22765,4.0433,4.07715,4.1346,4.15935,4.12945,4.14935
2018-04-19,08:20:00,4.9492,4.7475,4.7003,4.74975,4.78175,4.7543,4.75265
2018-04-19,08:40:00,4.0933,3.91455,4.00425,4.0525,4.06825,4.0416,4.05455
2018-04-19,09:00:00,4.7098,4.4923,4.7913,4.75055,4.85715,4.81345,4.7307
2018-04-19,09:20:00,5.13625,4.9058,4.9048,4.95025,4.99585,4.97565,4.96375
2018-04-19,09:40:00,6.91655,6.59655,6.71765,6.7642,6.78525,6.76735,6.7025
2018-04-19,10:00:00,7.74655,7.39625,7.52625,7.2271,7.59015,7.1967,7.16815
2018-04-19,10:20:00,7.6255,7.27455,7.4158,7.40095,7.4578,7.4603,7.34485
2018-04-19,10:40:00,7.7834,7.4116,7.5301,7.5578,7.57865,7.58055,7.4925
2018-04-19,11:00:00,7.5343,7.17805,7.30935,7.313,7.3444,7.35685,7.27
2018-04-19,11:20:00,8.33515,7.96255,8.0328,8.0257,8.0775,8.1029,8.0128
2018-04-19,11:40:00,8.15015,7.7728,7.90765,7.91025,7.94875,7.9481,7.86495
2018-04-19,12:00:00,8.06445,7.6881,7.7786,7.7656,7.8088,7.823,7.7588
2018-04-19,12:20:00,8.7821,8.35965,8.48455,8.4579,8.52525,8.54075,8.45205
2018-04-19,12:40:00,8.05085,7.65105,7.78955,7.80365,7.85925,7.85155,7.7878
2018-04-19,13:00:00,7.80065,7.43165,7.5534,7.54975,7.5951,7.6011,7.53695
2018-04-19,13:20:00,7.8128,7.4577,7.57185,7.5456,7.63375,7.63925,7.5483
2018-04-19,13:40:00,7.1478,6.82585,6.94595,6.9319,6.9941,6.9943,6.9518
2018-04-19,14:00:00,6.53185,6.22805,6.31255,6.3247,6.3813,6.3662,6.3407
2018-04-19,14:20:00,5.56585,5.31935,5.38075,5.43425,5.4493,5.42985,5.43915
2018-04-19,14:40:00,4.5739,4.36345,4.42415,4.4898,4.5025,4.46875,4.49905
2018-04-19,15:00:00,3.82395,3.6471,3.692,3.7488,3.76365,3.73515,3.7751
2018-04-19,15:20:00,3.9387,3.75525,3.80415,3.85385,3.8668,3.84165,3.8804
2018-04-19,15:40:00,3.7393,3.56375,3.6105,3.66175,3.67235,3.646,3.6883
2018-04-19,16:00:00,3.6882,3.32995,3.20425,3.4421,3.25905,3.4225,3.46985
2018-04-19,16:20:00,2.39285,2.27905,2.3135,2.35865,2.3657,2.34075,2.37765
2018-04-19,16:40:00,1.70265,1.6237,1.6427,1.6837,1.6869,1.6634,1.69825
2018-04-19,17:00:00,1.3398,1.2809,1.29635,1.3234,1.3258,1.31025,1.3371
2018-04-19,17:20:00,0.8273,0.7992,0.8059,0.81625,0.82335,0.8126,0.83015
2018-04-19,17:40:00,0.35925,0.3626,0.3566,0.3607,0.36385,0.35805,0.3642
2018-04-19,18:00:00,0.16655,0.17015,0.16175,0.1515,0.1569,0.16605,0.16815
2018-04-19,18:20:00,0.00435,0.0266,0,0,0,0,0.0009
2018-04-19,18:40:00,0,0,0,0,0,0,0
2018-04-19,19:00:00,0,0,0,0,0,0,0
2018-04-19,19:20:00,0,0,0,0,0,0,0
2018-04-19,19:40:00,0,0,0,0,0,0,0
2018-04-19,20:00:00,0,0,0,0,0,0,0
2018-04-19,20:20:00,0,0,0,0,0,0,0
2018-04-19,20:40:00,0,0,0,0,0,0,0
2018-04-19,21:00:00,0,0,0,0,0,0,0
2018-04-19,21:20:00,0,0,0,0,0,0,0
2018-04-19,21:40:00,0,0,0,0,0,0,0
2018-04-19,22:00:00,0,0,0,0,0,0,0
2018-04-19,22:20:00,0,0,0,0,0,0,0
2018-04-19,22:40:00,0,0,0,0,0,0,0
2018-04-19,23:00:00,0,0,0,0,0,0,0
2018-04-19,23:20:00,0,0,0,0,0,0,0
2018-04-19,23:40:00,0,0,0,0,0,0,0
