﻿﻿﻿﻿﻿﻿﻿inDate,inTime,11C1512000111四湖-1-PV-5000W-V 11C1512000111,10D1431000314四湖-2-PV-5000W-V 10D1431000314,10D1431000255四湖-3-PV-5000W-V 10D1431000255,11C1512000110四湖-4-PV-5000W-V 11C1512000110,10D1431000244四湖-5-PV-5000W-V 10D1431000244,10D1431000299四湖-6-PV-5000W-V 10D1431000299四湖-1
2018-04-19,00:00:00,0,0,0,0,0,0
2018-04-19,00:20:00,0,0,0,0,0,0
2018-04-19,00:40:00,0,0,0,0,0,0
2018-04-19,01:00:00,0,0,0,0,0,0
2018-04-19,01:20:00,0,0,0,0,0,0
2018-04-19,01:40:00,0,0,0,0,0,0
2018-04-19,02:00:00,0,0,0,0,0,0
2018-04-19,02:20:00,0,0,0,0,0,0
2018-04-19,02:40:00,0,0,0,0,0,0
2018-04-19,03:00:00,0,0,0,0,0,0
2018-04-19,03:20:00,0,0,0,0,0,0
2018-04-19,03:40:00,0,0,0,0,0,0
2018-04-19,04:00:00,0,0,0,0,0,0
2018-04-19,04:20:00,0,0,0,0,0,0
2018-04-19,04:40:00,0,0,0,0,0,0
2018-04-19,05:00:00,0,0,0,0,0,0
2018-04-19,05:20:00,0,0,0,0,0,0
2018-04-19,05:40:00,0,0,0,0,0,0
2018-04-19,06:00:00,0,0,0,0,0,0
2018-04-19,06:20:00,0.01965,0.01935,0.02005,0.02005,0.02,0.0188
2018-04-19,06:40:00,0.7406,0.72485,0.74525,0.7448,0.7358,0.69635
2018-04-19,07:00:00,1.04965,1.02435,1.0454,1.0508,1.0371,0.9798
2018-04-19,07:20:00,0.8941,0.8721,0.8866,0.888,0.8782,0.8295
2018-04-19,07:40:00,1.8294,1.78635,1.80225,1.8121,1.7773,1.6858
2018-04-19,08:00:00,1.69465,1.6601,1.6803,1.689,1.66075,1.5735
2018-04-19,08:20:00,2.1881,2.1474,2.17755,2.18945,2.15495,2.0426
2018-04-19,08:40:00,2.84385,2.79195,2.81275,2.8305,2.7827,2.6407
2018-04-19,09:00:00,2.6715,2.62235,2.63565,2.6512,2.5988,2.474
2018-04-19,09:20:00,2.9138,2.86025,2.8649,2.88775,2.82615,2.6721
2018-04-19,09:40:00,3.31775,3.2616,3.25935,3.281,3.21085,3.0431
2018-04-19,10:00:00,3.59525,3.54135,3.53945,3.5674,3.4964,3.3194
2018-04-19,10:20:00,3.6276,3.5655,3.54915,3.5786,3.4953,3.3125
2018-04-19,10:40:00,3.88605,3.82835,3.81675,3.8452,3.7592,3.5698
2018-04-19,11:00:00,3.8674,3.81525,3.8018,3.8249,3.74575,3.55985
2018-04-19,11:20:00,3.13235,3.0973,3.10455,3.12675,3.06815,2.91485
2018-04-19,11:40:00,3.4292,3.3824,3.38585,3.42045,3.36265,3.19925
2018-04-19,12:00:00,3.56765,3.5392,3.56195,3.5858,3.53835,3.38175
2018-04-19,12:20:00,3.7088,3.7,3.7163,3.73795,3.67815,3.5163
2018-04-19,12:40:00,3.3028,3.27445,3.30325,3.3264,3.2822,3.13765
2018-04-19,13:00:00,3.13385,3.10785,3.1127,3.13525,3.07645,2.913
2018-04-19,13:20:00,3.27545,3.2598,3.2671,3.28165,3.24905,3.09605
2018-04-19,13:40:00,3.4049,3.3832,3.38285,3.4001,3.34225,3.1847
2018-04-19,14:00:00,2.80635,2.78535,2.7799,2.7975,2.74755,2.62365
2018-04-19,14:20:00,2.60035,2.5807,2.5696,2.57975,2.53845,2.41755
2018-04-19,14:40:00,2.22565,2.2176,2.21325,2.22855,2.2005,2.0992
2018-04-19,15:00:00,1.9376,1.9261,1.92615,1.93125,1.9021,1.80955
2018-04-19,15:20:00,2.20745,2.2034,2.2051,2.212,2.18565,2.0824
2018-04-19,15:40:00,1.32985,1.32695,1.33325,1.33855,1.3201,1.25875
2018-04-19,16:00:00,1.0844,1.08335,1.0875,1.08925,1.07915,1.0257
2018-04-19,16:20:00,0.9162,0.91035,0.91675,0.91745,0.9113,0.8632
2018-04-19,16:40:00,0.53635,0.53095,0.53855,0.5355,0.5356,0.50235
2018-04-19,17:00:00,0.4531,0.45035,0.45905,0.45495,0.4565,0.4272
2018-04-19,17:20:00,0.2045,0.2088,0.2136,0.20845,0.2167,0.1963
2018-04-19,17:40:00,0.1113,0.12105,0.12535,0.11375,0.1269,0.11075
2018-04-19,18:00:00,0.0155,0.0255,0.02735,0.01515,0.02985,0.0231
2018-04-19,18:20:00,0,0,0,0,0,0
2018-04-19,18:40:00,0,0,0,0,0,0
2018-04-19,19:00:00,0,0,0,0,0,0
2018-04-19,19:20:00,0,0,0,0,0,0
2018-04-19,19:40:00,0,0,0,0,0,0
2018-04-19,20:00:00,0,0,0,0,0,0
2018-04-19,20:20:00,0,0,0,0,0,0
2018-04-19,20:40:00,0,0,0,0,0,0
2018-04-19,21:00:00,0,0,0,0,0,0
2018-04-19,21:20:00,0,0,0,0,0,0
2018-04-19,21:40:00,0,0,0,0,0,0
2018-04-19,22:00:00,0,0,0,0,0,0
2018-04-19,22:20:00,0,0,0,0,0,0
2018-04-19,22:40:00,0,0,0,0,0,0
2018-04-19,23:00:00,0,0,0,0,0,0
2018-04-19,23:20:00,0,0,0,0,0,0
2018-04-19,23:40:00,0,0,0,0,0,0
