﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10N1449000255PV-3000N-V 10N1449000255-朴子黃任逢,10N1449000256PV-3000N-V 10N1449000256-朴子黃任逢,10N1449000257PV-3000N-V 10N1449000257-朴子黃任逢,10N1449000258PV-3000N-V 10N1449000258-朴子黃任逢,10N1449000259PV-3000N-V 10N1449000259-朴子黃任逢,10N1449000260PV-3000N-V 10N1449000260-朴子黃任逢,10N1449000262PV-3000N-V 10N1449000262-朴子黃任逢,10N1449000263PV-3000N-V 10N1449000263-朴子黃任逢,10N1449000267PV-3000N-V 10N1449000267-朴子黃任逢
2018-04-19,00:00:00,0,0,0,0,0,0,0,0,0
2018-04-19,00:20:00,0,0,0,0,0,0,0,0,0
2018-04-19,00:40:00,0,0,0,0,0,0,0,0,0
2018-04-19,01:00:00,0,0,0,0,0,0,0,0,0
2018-04-19,01:20:00,0,0,0,0,0,0,0,0,0
2018-04-19,01:40:00,0,0,0,0,0,0,0,0,0
2018-04-19,02:00:00,0,0,0,0,0,0,0,0,0
2018-04-19,02:20:00,0,0,0,0,0,0,0,0,0
2018-04-19,02:40:00,0,0,0,0,0,0,0,0,0
2018-04-19,03:00:00,0,0,0,0,0,0,0,0,0
2018-04-19,03:20:00,0,0,0,0,0,0,0,0,0
2018-04-19,03:40:00,0,0,0,0,0,0,0,0,0
2018-04-19,04:00:00,0,0,0,0,0,0,0,0,0
2018-04-19,04:20:00,0,0,0,0,0,0,0,0,0
2018-04-19,04:40:00,0,0,0,0,0,0,0,0,0
2018-04-19,05:00:00,0,0,0,0,0,0,0,0,0
2018-04-19,05:20:00,0,0,0,0,0,0,0,0,0
2018-04-19,05:40:00,0,0,0,0,0,0,0,0,0
2018-04-19,06:00:00,0,0,0,0,0,0,0,0,0
2018-04-19,06:20:00,0,0,0,0,0,0,0,0,0
2018-04-19,06:40:00,0,0,0,0,0,0,0,0,0
2018-04-19,07:00:00,0,0,0,0,0,0,0,0,0
2018-04-19,07:20:00,0,0,0,0,0,0,0,0,0
2018-04-19,07:40:00,0.22235,0.20895,0.2581,0.2626,0.15985,0.2522,0.1694,0.286,0.15955
2018-04-19,08:00:00,1.25195,1.1751,1.46415,1.4818,1.1801,1.4267,1.2519,1.63255,1.1726
2018-04-19,08:20:00,1.0869,1.0311,1.21045,1.2307,1.03195,1.1823,1.0884,1.3587,1.02675
2018-04-19,08:40:00,1.2122,1.14865,1.3719,1.3854,1.1559,1.3376,1.21,1.53365,1.14815
2018-04-19,09:00:00,1.41625,1.35,1.5674,1.59755,1.36265,1.53235,1.42895,1.7275,1.35715
