﻿﻿﻿﻿﻿﻿﻿inDate,inTime,1211750000641彭玉蓮1-PV-3000N-V 1211750000641,1211750000636彭玉蓮2-PV-3000N-V 1211750000636,1211750000631彭玉蓮3-PV-3000N-V 1211750000631,11O1751002233彭玉蓮4-PV-5000W-HV 11O1751002233
2018-04-19,00:00:00,0,0,0,0
2018-04-19,00:20:00,0,0,0,0
2018-04-19,00:40:00,0,0,0,0
2018-04-19,01:00:00,0,0,0,0
2018-04-19,01:20:00,0,0,0,0
2018-04-19,01:40:00,0,0,0,0
2018-04-19,02:00:00,0,0,0,0
2018-04-19,02:20:00,0,0,0,0
2018-04-19,02:40:00,0,0,0,0
2018-04-19,03:00:00,0,0,0,0
2018-04-19,03:20:00,0,0,0,0
2018-04-19,03:40:00,0,0,0,0
2018-04-19,04:00:00,0,0,0,0
2018-04-19,04:20:00,0,0,0,0
2018-04-19,04:40:00,0,0,0,0
2018-04-19,05:00:00,0,0,0,0
2018-04-19,05:20:00,0,0.0001,0,0
2018-04-19,05:40:00,0.02565,0.0325,0.02845,0.0299
2018-04-19,06:00:00,0.1141,0.1213,0.11315,0.20825
2018-04-19,06:20:00,0.23115,0.25705,0.2357,0.4259
2018-04-19,06:40:00,0.37785,0.41965,0.38395,0.6875
2018-04-19,07:00:00,0.57815,0.64115,0.5862,1.0469
2018-04-19,07:20:00,0.77915,0.86685,0.79115,1.4121
2018-04-19,07:40:00,1.06065,1.17895,1.07605,1.92015
2018-04-19,08:00:00,1.25035,1.3965,1.27185,2.2676
2018-04-19,08:20:00,1.4804,1.64205,1.50285,2.68215
2018-04-19,08:40:00,1.6589,1.822,1.6797,3
2018-04-19,09:00:00,1.83585,2.002,1.8548,3.31545
2018-04-19,09:20:00,1.9986,2.17865,2.01355,3.6135
2018-04-19,09:40:00,2.1517,2.3426,2.1618,3.89225
2018-04-19,10:00:00,2.28,2.48165,2.27855,4.13925
2018-04-19,10:20:00,2.40105,2.61,2.39745,4.353
2018-04-19,10:40:00,2.39815,2.5683,2.36815,4.31225
2018-04-19,11:00:00,2.42525,2.62435,2.4053,4.3869
2018-04-19,11:20:00,2.5262,2.7446,2.51215,4.56125
2018-04-19,11:40:00,2.29275,2.47305,2.291,4.12775
2018-04-19,12:00:00,2.3389,2.5209,2.33285,4.2036
2018-04-19,12:20:00,2.22815,2.3862,2.20375,4.002
2018-04-19,12:40:00,2.07025,2.22115,2.0371,3.7289
2018-04-19,13:00:00,2.4536,2.6426,2.4203,4.4205
2018-04-19,13:20:00,2.26615,2.44955,2.23935,4.09445
2018-04-19,13:40:00,1.81055,1.95445,1.78915,3.2722
2018-04-19,14:00:00,1.57035,1.6997,1.5663,2.83115
2018-04-19,14:20:00,1.5463,1.66535,1.53455,2.78715
2018-04-19,14:40:00,0.6704,0.7191,0.66535,1.1984
2018-04-19,15:00:00,0.3919,0.4212,0.38975,0.70045
2018-04-19,15:20:00,0.3939,0.4242,0.39405,0.7056
2018-04-19,15:40:00,0.40775,0.43645,0.40755,0.728
2018-04-19,16:00:00,0.4991,0.5398,0.49495,0.8885
2018-04-19,16:20:00,0.42525,0.4591,0.4257,0.75895
2018-04-19,16:40:00,0.40405,0.43625,0.40525,0.7221
2018-04-19,17:00:00,0.33335,0.35815,0.33365,0.5981
2018-04-19,17:20:00,0.1913,0.20435,0.19125,0.3443
2018-04-19,17:40:00,0.0816,0.08585,0.08065,0.1527
2018-04-19,18:00:00,0.01155,0.0109,0.01025,0.04265
2018-04-19,18:20:00,0,0,0,0.01375
2018-04-19,18:40:00,0,0,0,0.0011
2018-04-19,19:00:00,0,0,0,0
2018-04-19,19:20:00,0,0,0,0
2018-04-19,19:40:00,0,0,0,0
2018-04-19,20:00:00,0,0,0,0
2018-04-19,20:20:00,0,0,0,0
2018-04-19,20:40:00,0,0,0,0
2018-04-19,21:00:00,0,0,0,0
2018-04-19,21:20:00,0,0,0,0
2018-04-19,21:40:00,0,0,0,0
2018-04-19,22:00:00,0,0,0,0
2018-04-19,22:20:00,0,0,0,0
2018-04-19,22:40:00,0,0,0,0
2018-04-19,23:00:00,0,0,0,0
2018-04-19,23:20:00,0,0,0,0
2018-04-19,23:40:00,0,0,0,0
