﻿﻿﻿﻿﻿﻿﻿inDate,inTime,10R1634000104PV-3000N-V 10R1634000104台西海產路#1,10R1634000096PV-3000N-V 10R1634000096台西海產路#2,10R1634000099PV-3000N-V 10R1634000099台西海產路#3,10R1634000079PV-3000N-V 10R1634000079台西海產路#4,10R1631000069PV-3000N-V 10R1631000069台西海產路#5,10R1634000081PV-3000N-V 10R1634000081台西海產路#6
2018-04-20,00:00:00,0,0,0,0,0,0
2018-04-20,00:20:00,0,0,0,0,0,0
2018-04-20,00:40:00,0,0,0,0,0,0
2018-04-20,01:00:00,0,0,0,0,0,0
2018-04-20,01:20:00,0,0,0,0,0,0
2018-04-20,01:40:00,0,0,0,0,0,0
2018-04-20,02:00:00,0,0,0,0,0,0
2018-04-20,02:20:00,0,0,0,0,0,0
2018-04-20,02:40:00,0,0,0,0,0,0
2018-04-20,03:00:00,0,0,0,0,0,0
2018-04-20,03:20:00,0,0,0,0,0,0
2018-04-20,03:40:00,0,0,0,0,0,0
2018-04-20,04:00:00,0,0,0,0,0,0
2018-04-20,04:20:00,0,0,0,0,0,0
2018-04-20,04:40:00,0,0,0,0,0,0
2018-04-20,05:00:00,0,0,0,0,0,0
2018-04-20,05:20:00,0,0,0,0,0,0
2018-04-20,05:40:00,0.01545,0.01195,0.0191,0.0141,0.01255,0.01155
2018-04-20,06:00:00,0.1294,0.1169,0.1368,0.12795,0.1054,0.0902
2018-04-20,06:20:00,0.21125,0.19415,0.22665,0.1939,0.1771,0.13915
2018-04-20,06:40:00,0.3137,0.2829,0.32995,0.2873,0.27105,0.1956
2018-04-20,07:00:00,0.36975,0.3386,0.39635,0.3617,0.32445,0.20065
2018-04-20,07:20:00,0.7689,0.70065,0.8291,0.75585,0.6886,0.5331
2018-04-20,07:40:00,1.03735,0.9501,1.1216,1.02295,0.93755,0.7773
2018-04-20,08:00:00,1.0997,1.0048,1.18285,1.0802,0.9867,0.89535
2018-04-20,08:20:00,0.8474,0.81325,0.9564,0.8739,0.79565,0.73965
2018-04-20,08:40:00,1.5578,1.3972,1.63195,1.49905,1.37615,1.34525
2018-04-20,09:00:00,1.7574,1.64625,1.91245,1.76105,1.627,1.6143
2018-04-20,09:20:00,1.04055,0.97535,1.1245,1.0426,0.9401,0.89935
2018-04-20,09:40:00,0.9984,0.90525,1.0522,0.97085,0.8743,0.8461
2018-04-20,10:00:00,1.50925,1.409,1.6395,1.5088,1.37335,1.33685
2018-04-20,10:20:00,0.90115,0.8361,0.9562,0.89615,0.7846,0.7508
2018-04-20,10:40:00,1.1951,1.09925,1.271,1.1812,1.05565,1.01945
2018-04-20,11:00:00,1.27875,1.17785,1.3687,1.26325,1.14235,1.10675
2018-04-20,11:20:00,2.2105,2.0222,2.3469,2.16435,2.00355,2.00185
2018-04-20,11:40:00,2.2175,2.0451,2.36095,2.1769,2.0222,2.03355
2018-04-20,12:00:00,2.1814,2.0468,2.36215,2.17535,2.01735,2.0326
2018-04-20,12:20:00,2.3726,2.1908,2.5247,2.32665,2.1564,2.1694
2018-04-20,12:40:00,2.1086,1.96145,2.2596,2.0865,1.9334,1.9471
2018-04-20,13:00:00,1.676,1.59325,1.83965,1.69365,1.56125,1.55995
2018-04-20,13:20:00,1.18925,1.1106,1.28415,1.18695,1.0682,1.044
2018-04-20,13:40:00,0.94585,0.87785,1.00915,0.9409,0.82845,0.804
2018-04-20,14:00:00,1.10665,1.0154,1.174,1.08865,0.9732,0.94925
2018-04-20,14:20:00,0.89155,0.8426,0.97785,0.90595,0.80975,0.78365
2018-04-20,14:40:00,0.50035,0.47145,0.54715,0.5093,0.4477,0.42765
2018-04-20,15:00:00,0.25575,0.24145,0.28075,0.2636,0.229,0.2184
2018-04-20,15:20:00,0.1397,0.1304,0.15705,0.1454,0.12635,0.122
2018-04-20,15:40:00,0.11135,0.1018,0.1255,0.1148,0.10065,0.0978
2018-04-20,16:00:00,0.154,0.14145,0.17055,0.15685,0.13775,0.1334
2018-04-20,16:20:00,0.18515,0.1682,0.2017,0.1857,0.1634,0.1593
2018-04-20,16:40:00,0.19305,0.1777,0.2146,0.19625,0.17495,0.17145
2018-04-20,17:00:00,0.176,0.16455,0.1981,0.18165,0.1608,0.15805
2018-04-20,17:20:00,0.1175,0.1091,0.1338,0.12215,0.10665,0.1064
2018-04-20,17:40:00,0.02405,0.025,0.03575,0.03015,0.02605,0.026
2018-04-20,18:00:00,5.0E-5,0,0.0012,0.0002,5.0E-5,0.0003
2018-04-20,18:20:00,0,0,0,0,0,0
2018-04-20,18:40:00,0,0,0,0,0,0
2018-04-20,19:00:00,0,0,0,0,0,0
2018-04-20,19:20:00,0,0,0,0,0,0
2018-04-20,19:40:00,0,0,0,0,0,0
2018-04-20,20:00:00,0,0,0,0,0,0
2018-04-20,20:20:00,0,0,0,0,0,0
2018-04-20,20:40:00,0,0,0,0,0,0
2018-04-20,21:00:00,0,0,0,0,0,0
2018-04-20,21:20:00,0,0,0,0,0,0
2018-04-20,21:40:00,0,0,0,0,0,0
2018-04-20,22:00:00,0,0,0,0,0,0
2018-04-20,22:20:00,0,0,0,0,0,0
2018-04-20,22:40:00,0,0,0,0,0,0
2018-04-20,23:00:00,0,0,0,0,0,0
2018-04-20,23:20:00,0,0,0,0,0,0
2018-04-20,23:40:00,0,0,0,0,0,0
